Titulo;E-ISSN;P-ISSN;Institución;Editora
Revista Electrónica de Investigación en Educación en Ciencias;1850-6666;null;Núcleo de Investigación en Educación en Ciencia y Tecnología (NIECYT) - Departamento de Formación Docente, Facultad de Ciencias Exactas;Universidad Nacional del Centro de la Provincia de Buenos Aires
Revista Contenciosa;2347-0011;null;Centro de Estudios Sociales Interdisciplinarios del Litoral, Facultad de Humanidades y Ciencias de la Universidad Nacional del Litoral;Ediciones UNL
Revista Iberoamericana de la Propiedad Intelectual;2422-569X;null;null;Universidad Austral
Revista Binacional Brasil - Argentina;2316-1205;null;Universidade Estadual do Sudoeste da Bahia;Universidade Estadual do Sudoeste da Bahia
Culturas;2362-5538;1515-3738;Universidad Nacional del Litoral, Facultad de Humanidades y Ciencias;Universidad Nacional del Litoral
Revista Electrónica de Derecho Internacional Contemporáneo;2618-303X;2618-3048;null;Universidad Nacional de La Plata
Cuadernos de Economía Crítica;2525-1538;2408-400X;Sociedad de Economía Crítica de Argentina y Uruguay;Sociedad de Economía Crítica de Argentina y Uruguay
Estudios Socioterritoriales: Revista de Geografía;1853-4392;1515-6206;CONICET - UNCPBA. Instituto de Geografía, Historia y Ciencias Sociales. Centro de Investigaciones Geográficas.;Universidad Nacional del Centro de la Provincia de Buenos Aires
Calamus;2545-627X;null;Sociedad Argentina de Estudios Medievales;Sociedad Argentina de Estudios Medievales
Páginas;1851-992X;null;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Escuela de Historia;Universidad Nacional de Rosario
Telar;1668-3633;1668-2963;Universidad Nacional de Tucumán, Facultad de Filosofía y Letras, Instituto Interdisciplinario de Estudios Latinoamericanos;Universidad Nacional de Tucumán
Trabajo y Sociedad;1514-6871;null;null;Universidad Nacional de Santiago del Estero
Revista Elektrón;2525-0159;null;Universidad de Buenos Aires, Facultad de Ingeniería;Universidad de Buenos Aires
Revista Jurídica Austral;2684-057X;2684-0537;Universidad Austral, Facultad de Derecho;Universidad Austral
Bonplandia;1853-8460;0524-0476;Instituto de Botánica del Nordeste, Facultad de Ciencias Agrarias, Universidad Nacional del Nordeste;Instituto de Botánica del Nordeste
Itinerantes;2525-2178;2250-5377;Universidad del Norte Santo Tomás de Aquino, Instituto de Investigaciones Históricas "Prof. Manuel Soriano";Universidad del Norte Santo Tomás de Aquino
Ciencias Administrativas;2314-3738;0009-6784;Universidad Nacional de La Plata, Facultad de Ciencias Económicas;Universidad Nacional de La Plata
Ingenio Tecnológico;2618-4931;null;null;Universidad Tecnológica Nacional, Facultad Regional La Plata
Estudios Sociales;2250-6950;0327-4934;Universidad Nacional del Litoral;Universidad Nacional del Litoral
Cuadernos de Marte;1852-9879;null;Universidad de Buenos Aires. Facultad de Ciencias Sociales. Instituto de Investigaciones Gino Germani;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani
H-Industri@;1851-703X;1853-550X;Universidad de Buenos Aires. Facultad de Ciencias Económicas;Universidad de Buenos Aires. Facultad de Ciencias Económicas
Etnografías Contemporáneas;2451-8050;1669-2632;Universidad Nacional San Martín;Universidad Nacional San Martín
Epistemología e Historia de la Ciencia;2525-1198;null;Universidad Nacional de Córdoba, Centro de Investigaciones de la Facultad de Filosofía y Humanidades;Universidad Nacional de Córdoba
Aportes para la Integración Latinoamericana;2468-9912;1667-8613;Universidad Nacional de La Plata, Facultad de Ciencias Jurídicas y Sociales, Instituto de Integración Latinoamericana;Universidad Nacional de La Plata
Revista Médica de Rosario;1851-2135;0327-5019;Círculo Médico de Rosario;Círculo Médico de Rosario
Interdisciplinaria;1668-7027;0325-8203;CONICET, Centro Interamericano de Investigaciones Psicológicas y Ciencias Afines;CONICET, Centro Interamericano de Investigaciones Psicológicas y Ciencias Afines
Revista Enfermería Neonatal;2591-6424;null;FUNDASAMIN-Fundación para la Salud Materno Infantil;FUNDASAMIN-Fundación para la Salud Materno Infantil
Revista Científica Arbitrada de la Fundación MenteClara;2469-0783;null;Fundación MenteClara;Fundación MenteClara
Circe de Clásicos y Modernos;1851-1724;1514-3333;Universidad Nacional de La Pampa, Facultad de Ciencias Humanas, Instituto de Estudios Clásicos;Universidad Nacional de La Pampa
Revista del Museo de La Plata;2545-6377;2545-6369;Universidad Nacional de La Plata, Facultad de Ciencias Naturales y Museo;Universidad Nacional de La Plata
Clio y Asociados;2362-3063;0328-820X;null;Universidad Nacional del Litoral
Cuadernos de Historia: Serie Economía y Sociedad;2422-7544;1514-5816;Universidad Nacional de Córdoba, Facultad de Filosofía y Humanidades, Centro de Investigaciones María Saleme de Burnichon;Universidad Nacional de Córdoba
Cuadernos de Política Exterior Argentina;1852-7213;0326-7806;Universidad Nacional de Rosario (UNR) - Centro de Estudios en Relaciones Internacionales de Rosario (CERIR);Universidad Nacional de Rosario
Andes;1668-8090;null;null;Universidad Nacional de Salta, Facultad de Humanidades, Centro Promocional de las Investigaciones en Historia y Antropología
Mundo Agrario;1515-5994;null;null;Universidad Nacional de La Plata
Improntas de la Historia y la Comunicación;2469-0457;null;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social, Centro de Estudios en Historia, Comunicación, Periodismo y Medios;Universidad Nacional de La Plata
