Titulo;E-ISSN;P-ISSN;Institución;Editora
Revista Electrónica de Didáctica en Educación Superior;1853-3159;null;Universidad de Buenos Aires, Ciclo Básico Común, Biología para el Tercer Milenio;Universidad de Buenos Aires
Area;2591-5312;0328-1337;Universidad de Buenos Aires. Facultad de Arquitectura, Diseño y Urbanismo;Universidad de Buenos Aires. Facultad de Arquitectura, Diseño y Urbanismo
RIA: Revista Investigaciones Agropecuarias;1669-2314;0325-8718;Instituto Nacional de Tecnología Agropecuaria (INTA);Instituto Nacional de Tecnología Agropecuaria (INTA)
Nuevo Itinerario;1850-3578;null;Universidad Nacional del Nordeste, Facultad de Humanidades, Instituto de Filosofía;Universidad Nacional del Nordeste
Relaciones Internacionales;2314-2766;1515-3371;Universidad Nacional de La Plata. Facultad de Ciencias Jurídicas y Sociales. Instituto de Relaciones Internacionales;Universidad Nacional de La Plata
Revista Foro de Educación Musical, Artes y Pedagogía;2525-1317;2545-7101;Mutual Arte y Educación. Editorial Arte y Pedagogía;Editorial Arte y Pedagogía, Mutual Arte y Educación
Historia de la Educación Anuario;2313-9277;null;Sociedad Argentina de Investigación y Enseñanza en Historia de la Educación (SAIEHE);Sociedad Argentina de Investigación y Enseñanza en Historia de la Educación (SAIEHE)
Telondefondo : Revista de Teoría y Crítica Teatral;1669-6301;null;Facultad de Filosofía y Letras (UBA);Universidad de Buenos Aires
Anuario Digital (Escuela de Historia. Facultad de Humanidades y Artes. Universidad Nacional de Rosario);1853-8835;0327-215X;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Escuela de Historia;Universidad Nacional de Rosario
Revista de la Facultad de Agronomía;1669-9513;null;null;Universidad Nacional de La Plata, Facultad de Ciencias Agrarias y Forestales
Salud Colectiva;1851-8265;1669-2381;Instituto de Salud Colectiva, Universidad Nacional de Lanús;Instituto de Salud Colectiva, Universidad Nacional de Lanús
Espacios en Blanco. Serie Indagaciones;2313-9927;1515-9485;Núcleo de estudios Educacionales y Sociales;Universidad Nacional del Centro de la Provincia de Buenos Aires
Revista Colección;1850-003X;0328-7998;null;Pontificia Universidad Católica Argentina, Facultad de Ciencias Sociales, Departamento de Ciencias Políticas y Relaciones Internacionales
Revista Entramados;2422-6459;null;Universidad Nacional de Mar del Plata, Facultad de Humanidades, Centro de Investigaciones multidisciplinarias en Educación;Universidad Nacional de Mar del Plata
Sudamérica;2314-1174;2250-7779;Universidad Nacional de Mar del Plata, Centro de Estudios Sociales y Políticos;Universidad Nacional de Mar del Plata
Boletín de Estudios Geográficos;2525-1813;0374-6186;null;Instituto de Geografía, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo
Diálogos Pedagógicos;2524-9274;1667-2003;Universidad Católica de Córdoba, Facultad de Educación;Universidad Católica de Córdoba
Armiliar;2545-7888;null;null;Universidad Nacional de La Plata, Facultad de Bellas Artes
Itinerarios Educativos;2362-5554;1850-3853;Universidad Nacional del Litoral, Facultad de Humanidades y Ciencias, Instituto de Desarrollo e Investigación para la Formación Docente;Universidad Nacional del Litoral
Descentrada;2545-7284;null;Universidad Nacional de La Plata;Centro Interdisciplinario de Investigaciones en Género (CInIG)
Mora;1853-001X;0328-8773;Facultad de Filosofía y Letras, Universidad de Buenos Aires;Facultad de Filosofía y Letras, Universidad de Buenos Aires
Ecología Austral;1667-782X;0327-5477;Asociación Argentina de Ecología;Asociación Argentina de Ecología
FAVE Sección Ciencias Veterinarias;2362-5589;null;Universidad Nacional del Litoral, Facultad de Ciencias Veterinarias;Universidad Nacional del Litoral
Revista de Arqueología Histórica Argentina y Latinoamericana;2344-9918;1851-3190;null;Asociación de Arqueólogos Profesionales de la República Argentina
Analecta Veterinaria;1514-2590;0365-5148;Universidad Nacional de La Plata, Facultad de Ciencias Veterinarias;Universidad Nacional de La Plata
Anales;2591-6386;0075-7411;Universidad Nacional de La Plata, Facultad de Ciencias Jurídicas y Sociales;Universidad Nacional de La Plata
Aura: Revista de Historia y Teoría del Arte;2347-0135;null;null;Universidad Nacional del Centro de la Provincia de Buenos Aires
Epistemus;1853-0494;null;Sociedad Argentina para las Ciencias Cognitivas de la Música;Universidad Nacional de La Plata
Enfoques;1669-2721;1514-6006;Asociación Colegio Adventista del Plata;Editorial Universidad Adventista del Plata
Escritos Contables y de Administración;1853-2055;1853-2063;Universidad Nacional del Sur, Departamento de Ciencias de la Administración;Editorial de la Universidad Nacional del Sur (Ediuns)
Estudios de Teoría Literaria;2313-9676;null;Universidad Nacional de Mar del Plata, Facultad de Humanidades, Departamento de Letras, Grupo de Investigación Estudios de Teoría Literaria;Universidad Nacional de Mar del Plata
Anales del Instituto de Arte Americano e Investigaciones Estéticas "Mario J. Buschiazzo";2362-2024;0328-9796;Instituto de Arte Americano e Investigaciones Estéticas "Mario J. Buschiazzo";Universidad de Buenos Aires
Serie Correlación Geológica;1666-9479;1514-4186;null;Instituto Superior de Correlación Geológica
Delito y Sociedad: Revista de Ciencias Sociales;2468-9963;0328-0101;Universidad Nacional del Litoral;Universidad Nacional del Litoral
Antigua Matanza;2545-8701;null;null;Universidad Nacional de La Matanza, Secretaría de Extensión Universitaria, Junta de Estudios Históricos de la Matanza
Cultura Económica;1852-5342;1852-0588;null;Pontificia Universidad Católica Argentina, Facultad de Ciencias Económicas, Centro de Estudios en Economía y Cultura
Revista Latinoamericana de Filosofía Política;2250-8619;null;null;Centro de Investigaciones Filosóficas
Revista de la Carrera de Sociología;1853-6484;null;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Carrera de Sociología;Carrera de Sociología de la Facultad de Ciencias Sociales de la Universidad de Buenos Aires
Textos y Contextos desde el Sur;2347-081X;null;Universidad Nacional de la Patagonia San Juan Bosco;Universidad Nacional de la Patagonia San Juan Bosco
Runa;1851-9628;0325-1217;Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras (Universidad de Buenos Aires);Universidad de Buenos Aires
Question;1669-6581;null;Universidad Nacional de La Plata;Universidad Nacional de La Plata
Revista de Psicología;2422-572X;null;Universidad Nacional de La Plata, Facultad de Psicología;Universidad Nacional de La Plata
Reseñas de Enseñanza de la Historia;2796-9304;1668-8864;Asociación de Profesores de Enseñanza de la Historia de Universidades Nacionales -APEHUN-;Asociación de Profesores de Enseñanza de la Historia de Universidades Nacionales -APEHUN-
A&P Continuidad;2362-6097;2362-6089;Universidad Nacional de Rosario, Facultad de Arquitectura, Planeamiento y Diseño;Universidad Nacional de Rosario
Avá;1851-1694;1515-2413;null;Universidad Nacional de Misiones
Rince;1851-3239;null;Universidad Nacional de la Matanza, Departamento de Ciencias Económicas;Universidad Nacional de La Matanza
Práctica Arqueológica;2618-2874;null;Asociación de Arqueólogos Profesionales de la República Argentina;Asociación de Arqueólogos Profesionales de la República Argentina
Revista de Estudios sobre Genocidio;2362-3985;1851-8184;Universidad Nacional de Tres de Febrero, Centro de Estudios sobre Genocidio;Universidad Nacional de Tres de Febrero
Boletín de Arte;2314-2502;1853-0710;Universidad Nacional de La Plata, Facultad de Bellas Artes;Papel Cosido
Estudios Sociales del Estado;2422-7803;null;Instituto de Desarrollo Económico y Social (IDES);Centro de Investigaciones Sociales (CIS)
Imagofagia;1852-9550;null;Asociación Argentina de Estudios de Cine y Audiovisual;Asociación Argentina de Estudios de Cine y Audiovisual
Archivos de Ciencias de la Educación;2346-8866;null;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación;Universidad Nacional de La Plata
Arte e Investigación;2469-1488;1850-2334;Universidad Nacional de La Plata, Facultad de Bellas Artes;Papel Cosido
Revista Iberoamericana de Tecnología en Educación y Educación en Tecnología;1850-9959;1851-0086;null;Red de Universidades Nacionales con Carreras de Informática
Revista de Salud Pública;1852-9429;1853-1180;Escuela de Salud Pública (Facultad de Ciencias Médicas);Universidad Nacional de Córdoba
Dominguezia;1669-6859;0327-2818;Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica;Museo de Farmacobotánica "Juan A. Domínguez"
IXTLI;2408-4751;null;Asociación Latinoamericana de Filosofía de la educación;Asociación Latinoamericana de Filosofía de la Educación
Quintú Quimün;2591-541X;null;Universidad Nacional del Comahue, Facultad de Lenguas;Universidad Nacional del Comahue
DavarLogos;1853-9106;1666-7832;Asociación Colegio Adventista del Plata;Editorial Universidad Adventista del Plata
Dios y el Hombre;2618-2858;null;Seminario Mayor San José de La Plata;Universidad Nacional de La Plata
Anuario IEHS;2524-9339;0326-9671;null;Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Humanas, Instituto de Estudios Histórico-Sociales
Tecnología y Ciencia;1666-6933;1666-6917;Universidad Tecnologica Nacional;Universidad Tecnologica Nacional
Journal de Ciencias Sociales;2362-194X;null;Universidad de Palermo, Facultad de Ciencias Sociales;Universidad de Palermo
Anuario de la Escuela de Historia Virtual;1853-7049;null;Escuela de Historia;Universidad Nacional de Córdoba
Biología Acuática;1668-4869;null;Instituto de Limnología "Raúl A. Ringuelet. (CONICET-UNLP);Instituto de Limnología "Raúl A. Ringuelet. (CONICET-UNLP)
Urbania;2591-5681;1853-7626;null;Arqueocoop LTDA
Revista de la Asociación Argentina de Ortopedia y Traumatologia;1852-7434;1515-1786;Asociacion Argentina de Ortopedia y Traumatologia;Asociacion Argentina de Ortopedia y Traumatologia
Synthesis (La Plata);1851-779X;0328-1205;Centro de Estudios Helénicos;Universidad Nacional de La Plata
Revista de Nefrología, Diálisis y Trasplante;2346-8548;0326-3428;Asociación Regional de Diálisis y Trasplantes Renales de Capital Federal y Provincia de Buenos Aires;Asociación Regional de Diálisis y Trasplantes Renales de Capital Federal y Provincia de Buenos Aires
Pasado Abierto;2451-6961;null;null;Universidad Nacional de Mar del Plata
Análisis Filosófico;1851-9636;0326-1301;Sociedad Argentina de Análisis Filosófico (SADAF);Sociedad Argentina de Análisis Filosófico (SADAF)
Revista Eurolatinoamericana de Derecho Administrativo;2362-583X;null;Red Docente Eurolatinoamericana de Derecho Administrativo;Universidad Nacional del Litoral
Revista Argentina de Investigación Educativa;2796-7433;null;Universidad Pedagógica Nacional;Universidad Pedagógica Nacional
RevIISE;2250-5555;null;null;IISE
Realidad, Tendencias y Desafíos en Turismo;2545-6199;1850-4787;Universidad Nacional del Comahue, Facultad de Turismo;Universidad Nacional del Comahue
Plaza Pública: Revista de Trabajo Social;1852-2459;null;Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Humanas. Carrera de Trabajo Social;Universidad Nacional del Centro de la Provincia de Buenos Aires
Cuadernos de Herpetología;1852-5768;0326-551X;Asociación Herpetológica Argentina;Asociación Herpetológica Argentina
Estudios Digital;1852-1568;0328-185X;Universidad Nacional de Córdoba, Facultad de Ciencias Sociales;Universidad Nacional de Córdoba
Revista Argentina de Reumatología;2362-3675;0327-4411;Sociedad Argentina de Reumatologia;Sociedad Argentina de Reumatologia
Confabulaciones;2545-8736;null;Facultad de Filosofía y Letras, Universidad Nacional de Tucumán;Instituto Interdisciplinario de Literaturas Argentina y Comparadas (IILAC)
Controversias y Concurrencias Latinoamericanas;2219-1631;null;Asociación Latinoamericana de Sociología;Asociación Latinoamericana de Sociología
Revista Argentina de Anatomía Clínica;1852-8023;null;Asociación Argentina de Anatomía Clínica;Asociación Argentina de Anatomía Clínica
Revista de Culturas y Literaturas Comparadas;2591-3883;1852-4737;Universidad Nacional de Córdoba, Facultad de Lenguas. Centro de Investigación en Literatura y Cultura;Universidad Nacional de Córdoba
Revista de Geología Aplicada a la Ingeniería y al Ambiente;2422-5703;1851-7838;Asociacion Argentina de Geología Aplicada a la Ingeniería;Asociación Argentina de Geología Aplicada a la Ingenería
Iberoamerican Journal of Project Management;2346-9161;null;Red Iberoamericana de Ingeniería de Proyectos. RIIPRO.;Universidad Nacional de Mar del Plata
Odisea: Revista de Estudios Migratorios;2408-445X;null;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani;Universidad de Buenos Aires
